"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-12","   80","  100","6.93"," 1050"," 1158","0.00",,"0.0","0.0",,"78","62","  276","  200",,,"  180",,"14.1",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-13","   80","   90","4.70"," 1351"," 1357","0.00",,"0.0","0.0",,"81","57","  359","  170",,,"  180",,"15.0",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-14","   90","   90","9.40"," 1350"," 2351","0.00",,"0.0","0.0",,"82","61","  494","  180",,,"  135",,"19.9",,,"32.2",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-15","  100","  100","8.50"," 0152"," 0002","1.29",,"0.0","0.0",,"73","53","    0","  190",,,"  135",,"17.9",,,"38.0","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-16","  100","  100","4.25"," 0650"," 0040","0.27",,"0.0","0.0",,"58","51","   10","  330",,,"  315",,"8.1",,,"15.0","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-17","   40","   40","8.50"," 1451"," 1358","0.00",,"0.0","0.0",,"63","45","  552","  250",,,"  270",,"17.0",,,"23.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-18","   50","   60","6.71"," 2350"," 2340","0.00",,"0.0","0.0",,"67","37","  623","  340",,,"  315",,"12.1",,,"16.1",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-19","   70","   70","12.08"," 0526"," 0602","0.07",,"0.4","0.0",,"50","30","  349","  340",,,"  360",,"19.9",,,"26.4","    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-20","    0","    0","8.05"," 0453"," 0849","0.00",,"0.0","0.0",,"49","26","  715","  350",,,"  315",,"14.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-21","   10","   20","6.93"," 0852"," 1443","0.00",,"0.0","0.0",,"64","27","  698","  190",,,"  225",,"10.1",,,"16.1",,,,,,,,,,,,,,,,,,,,,
